year,ifs,cowcode,country.x,police,polity2_P4,additive_FA,additive_FA_lagged,gdp_WDI_log10,gdp_WDI,pop_WDI_log10,pop_WDI,cameo_protests,trade_WDI,lji_LS,repress_index,repress_index_lagged,geocode,countryname,auton,author
1996,NGA,475,Nigeria,1,-6,3,4,11.18097699,152000000000,8.044025177,110668794,10,40.25772925,0.0634,5,4,Nigeria,Nigeria,0,0
1996,SDN,625,Sudan,1,-7,0,2,10.43021609,26928743520,7.394143065,24782383,4,23.2061102,0.044100001,8,6,Sudan,Sudan,0,1
1996,SGP,830,Singapore,0,-2,5,6,11.04782372,112000000000,6.564749365,3670704,0,334.9111633,0.398900002,3,2,Singapore,Singapore,0,0
1996,SLV,92,El Salvador,1,7,5,8,10.15684833,14349882108,6.755107534,5689938,1,55.28185673,0.473699987,3,0,El Salvador,El Salvador,0,0
1996,TCD,483,Chad,1,-2,3,3,9.54018029,3468808220,6.860396408,7250975,0,46.61003319,0.0187,5,5,Chad,Chad,0,0
1996,USA,2,United States of America,0,10,7,7,13.02540009,10600000000000,8.430387919,269394000,0,22.68707199,0.990800023,1,1,United States,USA,1,1
1996,VEN,101,Venezuela,1,8,2,1,11.443751,278000000000,7.349969709,22385650,20,55.97242779,0.466199994,6,7,Venezuela,Venezuela,0,1
1997,ARG,160,Argentina,1,7,5,5,11.48376127,305000000000,7.552150026,35657429,22,23.33617884,0.466600001,3,3,Argentina,Argentina,0,1
1997,AUS,900,Australia,0,10,7,7,11.87129499,744000000000,7.267570627,18517000,29,38.07481123,0.984300017,1,1,Australia,Australia,0,1
1997,AUT,305,Austria,1,10,8,8,11.48210145,303000000000,6.90135156,7968041,0,74.86769022,0.976000011,0,0,Austria,Austria,0,1
1997,BEL,211,Belgium,0,10,8,8,11.56894057,371000000000,7.007800888,10181245,5,125.6889401,0.967899978,0,0,Belgium,Belgium,0,1
1997,BEN,434,Benin,1,6,8,8,9.614434504,4115612754,6.798072974,6281639,0,58.71162961,0.478100002,0,0,Benin,Benin,0,1
1997,BGD,771,Bangladesh,1,6,4,3,10.76201758,57811945427,8.079761958,120160564,23,26.32551339,0.463200003,4,5,Bangladesh,Bangladesh,0,0
1997,BGR,355,Bulgaria,1,8,5,4,10.50059833,31666373359,6.919709087,8312068,61,87.26924647,0.575299978,3,4,Bulgaria,Bulgaria,0,0
1997,BHR,692,Bahrain,1,-9,5,3,10.12241649,13256122074,5.774466599,594931,2,148.5820781,0.236000001,3,5,Bahrain,Bahrain,0,0
1997,BRA,140,Brazil,1,8,4,4,12.16501272,1460000000000,8.223259753,167209040,17,16.57620926,0.538699985,4,4,Brazil,Brazil,0,1
1997,BWA,571,Botswana,1,8,7,7,9.882105815,7622647125,6.187640558,1540425,0,108.6044152,0.816200018,1,1,Botswana,Botswana,0,1
1997,CAF,482,Central African Republic,1,5,6,5,9.162570865,1454021623,6.530511663,3392436,0,55.81850836,0.308200002,2,3,Central African Republic,Cent. Af. Rep.,0,0
1997,CAN,20,Canada,0,10,8,8,12.03204227,1080000000000,7.475757574,29905948,8,74.58291846,0.981899977,0,0,Canada,Canada,0,1
1997,CHL,155,Chile,1,8,5,5,11.12081075,132000000000,7.169857164,14786220,9,54.9466136,0.699299991,3,3,Chile,Chile,0,0
1997,CIV,437,Cote D<U+0092>Ivoire,1,-6,5,4,10.32951897,21355953698,7.179857958,15130663,0,78.20804764,0.290699989,3,4,Ivory Coast,Cote d'Ivoire,0,0
1997,COL,100,Colombia,1,7,0,0,11.28812845,194000000000,7.576615434,37723800,8,35.59706809,0.522400022,8,8,Colombia,Colombia,0,1
1997,CUB,40,Cuba,0,-7,4,3,10.53631313,34380574866,7.040987102,10989732,0,32.75419893,0.0405,4,5,Cuba,Cuba,0,0
1997,CZE,316,Czech Republic,0,10,8,8,11.15849819,144000000000,7.013011371,10304131,2,85.07416815,0.888199985,0,0,Czech Republic,Czech Rep.,0,1
1997,DEU,255,German Federal Republic,0,10,8,8,12.46470411,2920000000000,7.91399797,82034771,0,49.64265864,0.977999985,0,0,Germany,FRG/Germany,0,1
1997,DOM,42,Dominican Republic,1,8,4,4,10.46249542,29006506120,6.907648169,8084407,20,74.23323717,0.444700003,4,4,Dominican Republic,Dom. Rep.,0,0
1997,ECU,130,Ecuador,1,8,4,4,10.66948443,46718020342,7.077420672,11951452,36,45.01718632,0.533500016,4,4,Ecuador,Ecuador,0,0
1997,EGY,651,Egypt,1,-6,4,3,11.05875618,114000000000,7.812192967,64892270,4,43.73824746,0.378899992,4,5,Egypt,Egypt,0,0
1997,ESP,230,Spain,0,10,6,5,12.0016818,1000000000000,7.602682638,40057389,10,51.16625712,0.925700009,2,3,Spain,Spain,1,1
1997,FRA,220,France,1,9,8,8,12.3213747,2100000000000,7.777896759,59964851,33,48.03349688,0.763599992,0,0,France,France,1,1
1997,GEO,372,Georgia,0,5,1,2,9.790007961,6166063040,6.638480571,4349913,3,57.75306593,0.336899996,7,6,Georgia,Georgia,1,0
1997,GHA,452,Ghana,0,2,5,6,10.20935337,16193971588,7.253070973,17908985,1,85.40183797,0.331400007,3,2,Ghana,Ghana,0,0
1997,GRC,350,Greece,1,10,6,6,11.35411997,226000000000,7.027808494,10661259,12,39.27422875,0.822799981,2,2,Greece,Greece,1,0
1997,GTM,90,Guatemala,1,8,4,3,10.42074802,26348021902,7.036933513,10887634,0,41.55195116,0.397700012,4,5,Guatemala,Guatemala,0,0
1997,HUN,310,Hungary,0,10,7,7,10.98004192,95508477116,7.012435886,10290486,4,94.84871912,0.931100011,1,1,Hungary,Hungary,0,0
1997,IND,750,India,1,9,0,0,11.86195118,728000000000,9.000390702,1000900030,82,22.61938687,0.719600022,8,8,India,India,0,1
1997,ITA,325,Italy/Sardinia,1,10,7,7,12.28475098,1930000000000,7.755038774,56890372,2,44.58850598,0.932099998,1,1,Italy,Italy,1,1
1997,MEX,70,Mexico,0,6,2,1,11.90690851,807000000000,7.9759416420000004,94611002,21,48.77736168,0.458600014,6,7,Mexico,Mexico,0,1
